customer_id,signup_date,marketing_spend,visits,purchase_amount,segment,notes
36622680_c0001,2025-07-06,249.78,4,257.03,Consumer,N/A
36622680_c0002,N/A,159.95,6,,Consumer,
36622680_c0003,2025-01-04,77.61,11,129.66,Consumer,
36622680_c0004,2024-10-09,57.63,2,91.28,SMB,
36622680_c0005,2025-11-02,161.92,4,153.46,SMB,N/A
36622680_c0006,2025-05-15,59.63,3,98.72,SMB,
36622680_c0007,2025-09-03,60.21,6,5.73,Consumer,
36622680_c0008,2025-01-18,29.28,4,9.09,Consumer,
36622680_c0009,2025-01-11,251.27,7,284.93,Consumer,contacted
36622680_c0010,31/10/2025,282.14,7,328.27,Consumer,
36622680_c0011,2025-10-07,163.19,4,100.75,Consumer,
36622680_c0012,09/02/2025,105.69,2,90.54,SMB,
36622680_c0013,"Jan 25, 2026",28.36,5,53.96,Enterprise,
36622680_c0014,13/06/2025,243.23,4,186.4,Consumer,contacted
36622680_c0015,2025-10-24,257.94,5,255.14,Consumer,contacted
36622680_c0016,2025-03-29,14.09,5,44.81,SMB,
36622680_c0017,04/02/2026,104.91,2,84.74,SMB,
36622680_c0018,04/05/2025,26.96,3,79.34,Consumer,
36622680_c0019,2024-12-15,27.58,2,0,Consumer,
36622680_c0020,2025-05-14,75.61,1,14.27,Consumer,
36622680_c0021,2024-10-02,60.31,6,91.3,Consumer,
36622680_c0022,"May 27, 2025",61.15,2,33.15,Consumer,
36622680_c0023,2025-08-14,43.08,2,0,Enterprise,
36622680_c0024,2025-10-02,274.6,3,262.6,SMB,N/A
36622680_c0025,2025-10-16,29.32,4,0,Consumer,returned
36622680_c0026,2025-10-19,290.68,10,319.81,SMB,no response
36622680_c0027,2025-06-24,108.12,7,124.06,SMB,
36622680_c0028,2025-05-02,139.04,8,137.12,SMB,
36622680_c0029,2024-12-04,135.23,4,221.36,Enterprise,contacted
36622680_c0030,"Oct 30, 2025",253.92,7,294.02,Consumer,contacted
36622680_c0031,"Oct 10, 2025",64.97,6,103.26,Consumer,N/A
36622680_c0032,29/07/2025,294.27,7,311.28,Enterprise,
36622680_c0033,2024-12-02,289.61,6,351.67,SMB,N/A
36622680_c0034,2026-01-27,2.98,1,0,Consumer,returned
36622680_c0035,09/07/2025,124.71,5,147.89,Consumer,
36622680_c0036,2025-10-03,59.34,6,39.95,Consumer,
36622680_c0037,2024-12-23,274.65,8,301.54,Enterprise,returned
36622680_c0038,2025-06-08,132.73,2,129.44,SMB,N/A
36622680_c0039,2025-08-27,96.02,5,113.51,SMB,
36622680_c0040,2025-12-22,268.74,10,281.92,SMB,N/A
36622680_c0041,24/03/2025,60.38,6,0,Consumer,
36622680_c0042,"Oct 15, 2025",280.82,6,270.78,SMB,
36622680_c0043,2025-06-20,291.86,9,272.52,Consumer,contacted
36622680_c0044,"Oct 26, 2025",282.5,7,293.87,Consumer,
36622680_c0045,2025-05-18,108.18,3,101.03,Consumer,
36622680_c0046,2025-08-04,164.32,5,180.09,Consumer,N/A
36622680_c0047,"Jul 15, 2025",233.35,5,,Consumer,contacted
36622680_c0048,2024-11-08,227.54,8,158.21,SMB,contacted
36622680_c0049,30/07/2025,120.51,5,,SMB,
36622680_c0050,,18.06,1,0,Consumer,
36622680_c0051,2025-09-24,47.37,8,96.41,Enterprise,N/A
36622680_c0052,2025-03-04,264.27,7,299.36,SMB,no response
36622680_c0053,2025-10-27,74.82,3,90.69,Consumer,contacted
36622680_c0054,2024-11-19,29.81,3,43.37,Consumer,
36622680_c0055,"Nov 07, 2025",204.96,6,272.03,SMB,N/A
36622680_c0056,20/01/2026,52.18,4,159.35,Consumer,
36622680_c0057,2025-03-19,126.34,4,181.01,Enterprise,
36622680_c0058,N/A,63.77,4,101.32,Enterprise,
36622680_c0059,"Oct 04, 2025",145.41,2,210.38,Enterprise,
36622680_c0060,2025-10-05,125.63,5,260.91,SMB,
36622680_c0061,11/02/2025,240.22,5,314.93,SMB,returned
36622680_c0062,06/01/2026,124.41,4,,SMB,contacted
36622680_c0063,N/A,1.48,2,0,Consumer,
36622680_c0064,,82.29,2,,Consumer,no response
36622680_c0065,2025-02-05,41.45,3,40.13,SMB,
36622680_c0066,2025-01-28,157.34,3,140.98,Enterprise,N/A
36622680_c0067,2025-03-18,235,6,124.38,Consumer,
36622680_c0068,"Jan 07, 2025",206.01,11,161.53,Consumer,
36622680_c0069,2025-11-13,270.6,6,230.41,Consumer,
36622680_c0070,2025-03-10,17.09,1,,SMB,contacted
36622680_c0071,2025-03-27,29.79,2,17.27,Consumer,contacted
36622680_c0072,2024-10-13,278.39,6,285.09,Consumer,contacted
36622680_c0073,2025-06-18,35.55,6,47.6,Consumer,contacted
36622680_c0074,2025-03-12,208.39,9,270.26,SMB,returned
36622680_c0075,"Oct 31, 2024",52.6,5,145.43,Consumer,
36622680_c0076,2025-01-08,22.64,3,50.58,Consumer,
36622680_c0077,2025-03-01,190.59,6,183.11,SMB,
36622680_c0078,2025-10-08,171.43,3,167.1,SMB,contacted
36622680_c0079,2025-02-03,73.38,6,137.94,Consumer,contacted
36622680_c0080,2025-07-05,177.38,3,155.41,Consumer,
36622680_c0081,"Oct 26, 2024",42.43,3,24.01,Consumer,
36622680_c0082,,56.82,4,32.66,Enterprise,contacted
36622680_c0083,2025-09-25,145.32,5,101.53,Consumer,
36622680_c0084,2025-12-24,5.09,3,0,Enterprise,returned
36622680_c0085,2025-01-17,248.74,8,,SMB,
36622680_c0086,2025-11-16,239.69,5,273.85,Consumer,returned
